"source page","source page title","aetiology_short","aetiology_long","comment","Signature","SignatureVersion","IdentificationStudy","IdentificationStudyURL","ExperimentalValidationStudy","ExperimentalValidationURL","ProposedAetiologySupport","ValidatedInOrthogonalTechniques"
"https://cancer.sanger.ac.uk/signatures/id/id1/","COSMIC | ID1 - Mutational Signatures"," Slippage of nascent strand during DNA replication","Slippage during DNA replication of the replicated DNA strand. This signature is found in almost all samples, however, substantial number of mutations of this signature are found in cancers with DNA mismatch repair deficiency.","ID1 is found in most cancer samples. The ID1 mutation burden is correlated with the age of cancer diagnosis in non-hypermutated samples and this clock-like behaviour suggests that ID1 mutations accumulate in normal cells. This mutational signature also tends to be highly elevated in cancer samples with defective DNA mismatch repair and microsatellite instability (MSI). These MSI samples generally exhibit one or more of SBS6, SBS14, SBS15, SBS20, SBS21, SBS26, and/or SBS44.","ID1 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id2/","COSMIC | ID2 - Mutational Signatures"," Slippage of template strand during DNA replication","Slippage during DNA replication of the template DNA strand. This signature is found in almost all samples, however, substantial number of mutations of this signature are found in cancers with DNA mismatch repair deficiency.","ID2 is found in most cancer samples. The ID2 mutation burden is, in some series, correlated with the age of cancer diagnosis in non-hypermutated samples and this clock-like behaviour suggests that ID2 mutations may accumulate in normal cells. This mutational signature also tends to be highly elevated in cancer samples with defective DNA mismatch repair and microsatellite instability (MSI). These MSI samples generally exhibit one or more of the single base substitution mutational signatures: SBS6, SBS14, SBS15, SBS20, SBS21, SBS26, and/or SBS44.","ID2 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id3/","COSMIC | ID3 - Mutational Signatures"," Tobacco smoking","Associated with tobacco smoking.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID3 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id4/","COSMIC | ID4 - Mutational Signatures"," Unknown","Unknown.","ID4 shows large numbers of mutations in a subset of samples which do not obviously have the mutational features of defective DNA mismatch repair.","ID4 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id5/","COSMIC | ID5 - Mutational Signatures"," Unknown","Unknown.","The ID5 mutation burden is correlated with the age of cancer diagnosis and this clock-like behaviour suggests that ID5 mutations may accumulate in normal cells.","ID5 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id6/","COSMIC | ID6 - Mutational Signatures"," HR deficiency","Defective homologous recombination-based DNA damage repair, often due to inactivating BRCA1 or BRCA2 mutations, leading to non-homologous DNA end-joining activity.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID6 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id7/","COSMIC | ID7 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","Large numbers of mutations in some cancers with DNA mismatch repair deficiency.","ID7 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id8/","COSMIC | ID8 - Mutational Signatures"," DSB repair by NHEJ / TOP2A mutation","Appears to be caused by at least two underlying mechanisms. In the vast majority of tumours the aetiology is unknown, but may involve repair of DNA double strand breaks by non-homologous DNA end-joining mechanisms. The double strand breaks could, in principle, be radiation induced and the features of ID8 mutations have some similarities to those of radiation induced mutations. The small number of tumors with the somatic p.K743N mutation in topoisomerase TOP2A, which always also have ID17, have a form of ID8 that shows evidence of transcription-associated damage and that has a strong enrichment for deletions of 6 to 8 base pairs compared to other ID8-mutated tumours. The vast majority of ID8 tumours (which do not have ID17) do not show evidence of transcription-coupled damage and have a markedly different size distribution of deletions longer than 5 base pairs.","The ID8 mutation burden is correlated with age of cancer diagnosis and this clock-like behaviour suggests that ID8 mutations may accumulate in normal cells.","ID8 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id9/","COSMIC | ID9 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID9 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id10/","COSMIC | ID10 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID10 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id11/","COSMIC | ID11 - Mutational Signatures"," Unknown","Unknown.","Occasional samples show large numbers of ID11 mutations without obvious evidence of defective DNA mismatch repair.","ID11 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id12/","COSMIC | ID12 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID12 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id13/","COSMIC | ID13 - Mutational Signatures"," UV light exposure","ID13 is found in cancers of the skin from sun exposed areas, therefore, this signature is likely to be due to exposure to ultraviolet light.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","ID13 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id14/","COSMIC | ID14 - Mutational Signatures"," Unknown","Unknown.","ID14 generates large numbers of indels in a small number of samples without obvious evidence of defective DNA mismatch repair.","ID14 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id15/","COSMIC | ID15 - Mutational Signatures"," Unknown","Unknown.","ID15 generates a large number of indels in a small number of cancers without obvious evidence of defective DNA mismatch repair.","ID15 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id16/","COSMIC | ID16 - Mutational Signatures"," Unknown","Unknown.","ID16 generates high number of indels in a single ovarian cancer without obvious evidence of defective DNA mismatch repair.","ID16 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id17/","COSMIC | ID17 - Mutational Signatures"," TOP2A mutation","Appears to be caused by mutations in topoisomerase TOP2A. All tumours with ID17 have the somatic TOP2A p.K743N mutation, and tumours with this mutation have ID17. ID17 exhibits probable transcription-associated damage as evidenced by higher mutation density in more highly expressed genes. Studies of topoisomerase variants in yeast support the connection between TOP2A and ID17.","ID17 generates a large number of indels in a small number of cancers without obvious evidence of defective DNA mismatch repair.","ID17 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Stantial et al. 2020 PNAS","https://doi.org/10.1073/pnas.2008721117"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/id/id18/","COSMIC | ID18 - Mutational Signatures"," Colibactin exposure","Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin.","Strong preference for adenines 5' of homopolymer containing the deletion.","ID18 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Lee-Six et al. 2019 Nature / Pleguezuelos-Manzano et al. 2020 Nature / Boot et al. 2020 Genome Research","https://doi.org/10.1038/s41586-019-1672-7","Pleguezuelos-Manzano et al. 2020 Nature","https://doi.org/10.1038/s41586-020-2080-8"," Experimental confirmation"," Yes"
