"source page","source page title","aetiology_short","aetiology_long","comment","Signature","SignatureVersion","IdentificationStudy","IdentificationStudyURL","ExperimentalValidationStudy","ExperimentalValidationURL","ProposedAetiologySupport","ValidatedInOrthogonalTechniques"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs1/","COSMIC | DBS1 - Mutational Signatures"," UV light exposure","Exposure to ultraviolet light.","DBS1 exhibits transcriptional strand bias with more CC>TT mutations than GG>AA on the untranscribed strands of genes indicative of damage to cytosine and repair by transcription coupled nucleotide excision repair.","DBS1 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Chen et al. 2013 Human Mutation","https://doi.org/10.1002/humu.22341","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs2/","COSMIC | DBS2 - Mutational Signatures"," Tobacco smoking / Acetaldehyde exposure","Exposure to tobacco smoking as well as other endogenous and/or exogenous mutagens (e.g., acetaldehyde).","DBS2 exhibits transcriptional strand bias with more GG>TT mutations than CC>AA on the untranscribed strands of genes indicative of damage on guanine and repair by transcription-coupled nucleotide excision repair. In addition to its presence in tobacco smoking induced cancers, DBS2 is also found in many cancer types unrelated to tobacco smoking. Its profile is similar to that of mutations in normal cells in mice. It may therefore also be an endogenously generated signature. Its mutation burden correlates with age of cancer diagnosis and this clock-like feature suggests that it is generated in normal human cells.","DBS2 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Chen et al. 2013 Human Mutation","https://doi.org/10.1002/humu.22341","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental confirmation (tobacco smoking)"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs3/","COSMIC | DBS3 - Mutational Signatures"," POLE exonuclease domain mutation","Polymerase epsilon exonuclease domain mutations.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS3 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs4/","COSMIC | DBS4 - Mutational Signatures"," Unknown","Unknown.","Its profile is similar to that of a subset of mutations in normal mouse cells. It may therefore be an endogenously generated signature. Its mutation burden correlates with the age of cancer diagnosis and this clock-like feature suggests that it is generated in normal human cells.","DBS4 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs5/","COSMIC | DBS5 - Mutational Signatures"," Platinum chemotherapy","Prior chemotherapy treatment with platinum drugs.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS5 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs6/","COSMIC | DBS6 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS6 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs7/","COSMIC | DBS7 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS7 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs8/","COSMIC | DBS8 - Mutational Signatures"," Unknown","Unknown.","Found in rare hypermutated cancers with large numbers of single base substitutions similar to SBS1 and SBS5, but not apparently DNA mismatch repair defective or polymerase epsilon mutated.","DBS8 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs9/","COSMIC | DBS9 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS9 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs10/","COSMIC | DBS10 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS10 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/dbs/dbs11/","COSMIC | DBS11 - Mutational Signatures"," APOBEC activity","Unknown. Possibly related to APOBEC mutagenesis.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","DBS11 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Chen et al. 2013 Human Mutation","https://doi.org/10.1002/humu.22341","",""," Statistical association"," Yes"
