"signature","type","channel","fraction"
"CN1","0","0:homdel:0-100kb",0.00179505388970679
"CN1","0","0:homdel:100kb-1Mb",0.00380710395071105
"CN1","0","0:homdel:>1Mb",0.00243674609794896
"CN1","1","1:LOH:0-100kb",0.00284044915285461
"CN1","1","1:LOH:100kb-1Mb",0.0122630566305438
"CN1","1","1:LOH:1Mb-10Mb",0.0191634178931632
"CN1","1","1:LOH:10Mb-40Mb",0.0472977573216536
"CN1","1","1:LOH:>40Mb",0.0736459985159488
"CN1","2","2:LOH:0-100kb",0.00118798435049394
"CN1","2","2:LOH:100kb-1Mb",0.00430310172437017
"CN1","2","2:LOH:1Mb-10Mb",0.00443801258674155
"CN1","2","2:LOH:10Mb-40Mb",0.00431859046390283
"CN1","2","2:LOH:>40Mb",0.0122156535662662
"CN1","3-4","3-4:LOH:0-100kb",0.00137994739478047
"CN1","3-4","3-4:LOH:100kb-1Mb",0.00166785303474209
"CN1","3-4","3-4:LOH:1Mb-10Mb",0.00151428434744227
"CN1","3-4","3-4:LOH:10Mb-40Mb",0.000102202609505552
"CN1","3-4","3-4:LOH:>40Mb",0.00736760915942844
"CN1","5-8","5-8:LOH:0-100kb",0.000351297826027813
"CN1","5-8","5-8:LOH:100kb-1Mb",0.000212106955336344
"CN1","5-8","5-8:LOH:1Mb-10Mb",0.000207783479120987
"CN1","5-8","5-8:LOH:10Mb-40Mb",9.97152174631826e-05
"CN1","5-8","5-8:LOH:>40Mb",0.000331938261447213
"CN1","9+","9+:LOH:0-100kb",0.000133994782829626
"CN1","9+","9+:LOH:100kb-1Mb",0.000411987828499157
"CN1","9+","9+:LOH:1Mb-10Mb",0.00020077000108427
"CN1","9+","9+:LOH:10Mb-40Mb",6.51478263912174e-06
"CN1","9+","9+:LOH:>40Mb",2.75782609902174e-06
"CN1","2","2:het:0-100kb",0.000126855217060544
"CN1","2","2:het:100kb-1Mb",0.00239269216510174
"CN1","2","2:het:1Mb-10Mb",0.017226427424718
"CN1","2","2:het:10Mb-40Mb",0.11204388628578
"CN1","2","2:het:>40Mb",0.647548237436108
"CN1","3-4","3-4:het:0-100kb",0.000986436966092696
"CN1","3-4","3-4:het:100kb-1Mb",0.00362314698166206
"CN1","3-4","3-4:het:1Mb-10Mb",0.00173458739980441
"CN1","3-4","3-4:het:10Mb-40Mb",0.0030095421986957
"CN1","3-4","3-4:het:>40Mb",0.00537392479707207
"CN1","5-8","5-8:het:0-100kb",0.000741211739085522
"CN1","5-8","5-8:het:100kb-1Mb",0.000116379997825296
"CN1","5-8","5-8:het:1Mb-10Mb",0.00020400217390953
"CN1","5-8","5-8:het:10Mb-40Mb",1.93486956274217e-05
"CN1","5-8","5-8:het:>40Mb",0.000525661739173026
"CN1","9+","9+:het:0-100kb",0.000105258261933196
"CN1","9+","9+:het:100kb-1Mb",0.000318177391321617
"CN1","9+","9+:het:1Mb-10Mb",0.000187035217402435
"CN1","9+","9+:het:10Mb-40Mb",1.74304348222609e-06
"CN1","9+","9+:het:>40Mb",1.17552173930391e-05
"CN2","0","0:homdel:0-100kb",0.00223767432853288
"CN2","0","0:homdel:100kb-1Mb",0.0071957876210595
"CN2","0","0:homdel:>1Mb",0.00383710801179133
"CN2","1","1:LOH:0-100kb",0.00282653598560028
"CN2","1","1:LOH:100kb-1Mb",0.00632391461734855
"CN2","1","1:LOH:1Mb-10Mb",0.00102376399756159
"CN2","1","1:LOH:10Mb-40Mb",0.000483364338306154
"CN2","1","1:LOH:>40Mb",0.000124321667725803
"CN2","2","2:LOH:0-100kb",0.00248891664575713
"CN2","2","2:LOH:100kb-1Mb",0.0194648691851649
