"signature","type","channel","fraction"
"ID1","1:Del:C","1:Del:C:0",0.000159889000761019
"ID1","1:Del:C","1:Del:C:1",0.000773523003681714
"ID1","1:Del:C","1:Del:C:2",3.31000001575451e-18
"ID1","1:Del:C","1:Del:C:3",0.00190761300907961
"ID1","1:Del:C","1:Del:C:4",0.000705990003360279
"ID1","1:Del:C","1:Del:C:5",0.00337011501604064
"ID1","1:Del:T","1:Del:T:0",0.00131160500624281
"ID1","1:Del:T","1:Del:T:1",3.31000001575451e-18
"ID1","1:Del:T","1:Del:T:2",0.000936453004457207
"ID1","1:Del:T","1:Del:T:3",0.00229585501092751
"ID1","1:Del:T","1:Del:T:4",0.00429142202042575
"ID1","1:Del:T","1:Del:T:5",3.31000001575451e-18
"ID1","1:Ins:C","1:Ins:C:0",3.31000001575451e-18
"ID1","1:Ins:C","1:Ins:C:1",3.31000001575451e-18
"ID1","1:Ins:C","1:Ins:C:2",3.31000001575451e-18
"ID1","1:Ins:C","1:Ins:C:3",0.000845986004026614
"ID1","1:Ins:C","1:Ins:C:4",0.00178552500849851
"ID1","1:Ins:C","1:Ins:C:5",0.0242965361156435
"ID1","1:Ins:T","1:Ins:T:0",0.00228382401087025
"ID1","1:Ins:T","1:Ins:T:1",4.03000001918147e-05
"ID1","1:Ins:T","1:Ins:T:2",0.000192865000917974
"ID1","1:Ins:T","1:Ins:T:3",0.00424326702019655
"ID1","1:Ins:T","1:Ins:T:4",0.0166491270792444
"ID1","1:Ins:T","1:Ins:T:5",0.890906468240421
"ID1","2:Del:R","2:Del:R:0",0.000686046003265353
"ID1","2:Del:R","2:Del:R:1",0.00121996900580665
"ID1","2:Del:R","2:Del:R:2",0.000472749002250129
"ID1","2:Del:R","2:Del:R:3",0.000426720002031046
"ID1","2:Del:R","2:Del:R:4",5.4600000259878e-05
"ID1","2:Del:R","2:Del:R:5",3.31000001575451e-18
"ID1","3:Del:R","3:Del:R:0",0.000128045000609452
"ID1","3:Del:R","3:Del:R:1",0.00501108502385111
"ID1","3:Del:R","3:Del:R:2",0.000769383003662009
"ID1","3:Del:R","3:Del:R:3",0.000371256001767056
"ID1","3:Del:R","3:Del:R:4",3.31000001575451e-18
"ID1","3:Del:R","3:Del:R:5",3.31000001575451e-18
"ID1","4:Del:R","4:Del:R:0",9.97000004745391e-05
"ID1","4:Del:R","4:Del:R:1",0.000900503004286097
"ID1","4:Del:R","4:Del:R:2",3.23000001537373e-06
"ID1","4:Del:R","4:Del:R:3",3.31000001575451e-18
"ID1","4:Del:R","4:Del:R:4",3.31000001575451e-18
"ID1","4:Del:R","4:Del:R:5",2.89000001375545e-05
"ID1","5:Del:R","5:Del:R:0",8.35000003974324e-06
"ID1","5:Del:R","5:Del:R:1",0.000190676000907555
"ID1","5:Del:R","5:Del:R:2",0.000126355000601408
"ID1","5:Del:R","5:Del:R:3",1.89000000899578e-05
"ID1","5:Del:R","5:Del:R:4",3.11000001480257e-06
"ID1","5:Del:R","5:Del:R:5",3.13000001489777e-05
"ID1","2:Ins:R","2:Ins:R:0",0.000402036001913559
"ID1","2:Ins:R","2:Ins:R:1",7.8800000375062e-06
"ID1","2:Ins:R","2:Ins:R:2",0.000221347001053539
"ID1","2:Ins:R","2:Ins:R:3",0.000514268002447746
"ID1","2:Ins:R","2:Ins:R:4",0.00291310001386539
"ID1","2:Ins:R","2:Ins:R:5",0.0181215840862528
"ID1","3:Ins:R","3:Ins:R:0",3.06000001456459e-07
"ID1","3:Ins:R","3:Ins:R:1",0.000254695001212264
"ID1","3:Ins:R","3:Ins:R:2",4.41000002099014e-05
"ID1","3:Ins:R","3:Ins:R:3",0.000166702000793446
"ID1","3:Ins:R","3:Ins:R:4",8.89000004231347e-05
"ID1","3:Ins:R","3:Ins:R:5",0.00124869600594338
"ID1","4:Ins:R","4:Ins:R:0",3.31000001575451e-18
"ID1","4:Ins:R","4:Ins:R:1",0.000744381003543008
"ID1","4:Ins:R","4:Ins:R:2",7.55000003593551e-05
"ID1","4:Ins:R","4:Ins:R:3",0.000157544000749857
"ID1","4:Ins:R","4:Ins:R:4",0.000319653001521443
"ID1","4:Ins:R","4:Ins:R:5",0.00100132000476595
"ID1","5:Ins:R","5:Ins:R:0",3.31000001575451e-18
"ID1","5:Ins:R","5:Ins:R:1",0.0014431260068688
"ID1","5:Ins:R","5:Ins:R:2",0.000254832001212916
"ID1","5:Ins:R","5:Ins:R:3",0.000237087001128456
"ID1","5:Ins:R","5:Ins:R:4",0.000261865001246391
"ID1","5:Ins:R","5:Ins:R:5",0.00011983400057037
"ID1","2:Del:M","2:Del:M:1",0.0011978150057012
"ID1","3:Del:M","3:Del:M:1",8.1900000389817e-05
"ID1","3:Del:M","3:Del:M:2",0.00147959300704237
"ID1","4:Del:M","4:Del:M:1",8.38000003988604e-05
"ID1","4:Del:M","4:Del:M:2",0.000145479000692432
"ID1","4:Del:M","4:Del:M:3",0.000160684000764803
"ID1","5:Del:M","5:Del:M:1",8.16000003883891e-07
"ID1","5:Del:M","5:Del:M:2",2.38000001132801e-10
"ID1","5:Del:M","5:Del:M:3",2.33000001109003e-12
"ID1","5:Del:M","5:Del:M:4",3.88000001846752e-05
"ID1","5:Del:M","5:Del:M:5",0.000665116003165733
"ID2","1:Del:C","1:Del:C:0",0.0048241160289447
"ID2","1:Del:C","1:Del:C:1",2.21000001326e-05
"ID2","1:Del:C","1:Del:C:2",3.11000001866e-06
"ID2","1:Del:C","1:Del:C:3",0.00247207601483246
"ID2","1:Del:C","1:Del:C:4",0.00385697602314186
"ID2","1:Del:C","1:Del:C:5",0.0146154240876925
"ID2","1:Del:T","1:Del:T:0",0.0079059660474358
"ID2","1:Del:T","1:Del:T:1",3.9500000237e-18
"ID2","1:Del:T","1:Del:T:2",0.00703641804221851
"ID2","1:Del:T","1:Del:T:3",0.0202347431214085
"ID2","1:Del:T","1:Del:T:4",0.0471199252827195
"ID2","1:Del:T","1:Del:T:5",0.814697226888183
"ID2","1:Ins:C","1:Ins:C:0",3.9500000237e-18
"ID2","1:Ins:C","1:Ins:C:1",0.000227026001362156
"ID2","1:Ins:C","1:Ins:C:2",2.62000001572e-05
"ID2","1:Ins:C","1:Ins:C:3",0.0004300500025803
"ID2","1:Ins:C","1:Ins:C:4",0.00291184601747108
"ID2","1:Ins:C","1:Ins:C:5",0.00901753605410521
"ID2","1:Ins:T","1:Ins:T:0",0.00132855600797134
"ID2","1:Ins:T","1:Ins:T:1",3.9500000237e-18
"ID2","1:Ins:T","1:Ins:T:2",0.000647033003882198
"ID2","1:Ins:T","1:Ins:T:3",0.00108287900649727
"ID2","1:Ins:T","1:Ins:T:4",0.00348746102092477
"ID2","1:Ins:T","1:Ins:T:5",0.00313258501879551
"ID2","2:Del:R","2:Del:R:0",0.000163809000982854
"ID2","2:Del:R","2:Del:R:1",0.00356888502141331
"ID2","2:Del:R","2:Del:R:2",0.00184957401109744
"ID2","2:Del:R","2:Del:R:3",0.000739044004434264
"ID2","2:Del:R","2:Del:R:4",0.000881932005291592
"ID2","2:Del:R","2:Del:R:5",4.67000002802e-18
"ID2","3:Del:R","3:Del:R:0",1.2500000075e-05
"ID2","3:Del:R","3:Del:R:1",0.00500325803001955
"ID2","3:Del:R","3:Del:R:2",0.00228989101373935
"ID2","3:Del:R","3:Del:R:3",0.000402587002415522
"ID2","3:Del:R","3:Del:R:4",3.97000002382e-18
"ID2","3:Del:R","3:Del:R:5",3.9500000237e-18
"ID2","4:Del:R","4:Del:R:0",1.21000000726e-05
"ID2","4:Del:R","4:Del:R:1",0.00211578701269472
"ID2","4:Del:R","4:Del:R:2",0.000543292003259752
"ID2","4:Del:R","4:Del:R:3",7.27000004362e-06
"ID2","4:Del:R","4:Del:R:4",3.9500000237e-18
"ID2","4:Del:R","4:Del:R:5",0.000210413001262478
"ID2","5:Del:R","5:Del:R:0",3.8500000231e-05
"ID2","5:Del:R","5:Del:R:1",0.00297751201786507
"ID2","5:Del:R","5:Del:R:2",0.00039752500238515
"ID2","5:Del:R","5:Del:R:3",0.000158151000948906
"ID2","5:Del:R","5:Del:R:4",8.47000005082e-05
"ID2","5:Del:R","5:Del:R:5",2.12000001272e-05
"ID2","2:Ins:R","2:Ins:R:0",0.000331853001991118
"ID2","2:Ins:R","2:Ins:R:1",0.00027166500162999
"ID2","2:Ins:R","2:Ins:R:2",0.00103534100621205
"ID2","2:Ins:R","2:Ins:R:3",0.000381326002287956
"ID2","2:Ins:R","2:Ins:R:4",0.00197742301186454
"ID2","2:Ins:R","2:Ins:R:5",0.0136333760818003
"ID2","3:Ins:R","3:Ins:R:0",5.78000003468e-05
"ID2","3:Ins:R","3:Ins:R:1",0.0012270500073623
"ID2","3:Ins:R","3:Ins:R:2",0.00021007500126045
"ID2","3:Ins:R","3:Ins:R:3",3.02000001812e-06
"ID2","3:Ins:R","3:Ins:R:4",0.000141807000850842
"ID2","3:Ins:R","3:Ins:R:5",0.00186470701118824
"ID2","4:Ins:R","4:Ins:R:0",1.68000001008e-05
"ID2","4:Ins:R","4:Ins:R:1",0.00120372800722237
"ID2","4:Ins:R","4:Ins:R:2",1.22000000732e-05
"ID2","4:Ins:R","4:Ins:R:3",0.000134169000805014
"ID2","4:Ins:R","4:Ins:R:4",0.00024938500149631
"ID2","4:Ins:R","4:Ins:R:5",0.00219354501316127
"ID2","5:Ins:R","5:Ins:R:0",3.9500000237e-18
"ID2","5:Ins:R","5:Ins:R:1",0.000135658000813948
"ID2","5:Ins:R","5:Ins:R:2",5.53000003318e-06
"ID2","5:Ins:R","5:Ins:R:3",9.77000005862e-05
"ID2","5:Ins:R","5:Ins:R:4",2.1500000129e-06
"ID2","5:Ins:R","5:Ins:R:5",0.000115629000693774
"ID2","2:Del:M","2:Del:M:1",0.000175553001053318
"ID2","3:Del:M","3:Del:M:1",5.46000003276e-07
"ID2","3:Del:M","3:Del:M:2",0.00294406301766438
"ID2","4:Del:M","4:Del:M:1",0.00014700500088203
"ID2","4:Del:M","4:Del:M:2",0.000550614003303684
"ID2","4:Del:M","4:Del:M:3",0.000693566004161396
"ID2","5:Del:M","5:Del:M:1",0.000624963003749778
"ID2","5:Del:M","5:Del:M:2",0.000117708000706248
"ID2","5:Del:M","5:Del:M:3",5.67000003402e-05
"ID2","5:Del:M","5:Del:M:4",0.000462842002777052
"ID2","5:Del:M","5:Del:M:5",0.00236731901420391
"ID3","1:Del:C","1:Del:C:0",0.124727109374181
"ID3","1:Del:C","1:Del:C:1",0.208876169626629
"ID3","1:Del:C","1:Del:C:2",0.176324217528973
"ID3","1:Del:C","1:Del:C:3",0.0640427641921283
"ID3","1:Del:C","1:Del:C:4",0.0439898081319694
"ID3","1:Del:C","1:Del:C:5",0.0224174860672525
"ID3","1:Del:T","1:Del:T:0",0.0375992301127977
"ID3","1:Del:T","1:Del:T:1",0.0133098240399295
"ID3","1:Del:T","1:Del:T:2",0.0165018510495056
"ID3","1:Del:T","1:Del:T:3",0.0201414770604244
"ID3","1:Del:T","1:Del:T:4",0.0158143640474431
"ID3","1:Del:T","1:Del:T:5",0.00806631402419893
"ID3","1:Ins:C","1:Ins:C:0",0.00208309200624928
"ID3","1:Ins:C","1:Ins:C:1",0.00157888700473666
"ID3","1:Ins:C","1:Ins:C:2",0.00174794600524384
"ID3","1:Ins:C","1:Ins:C:3",0.00617764701853294
"ID3","1:Ins:C","1:Ins:C:4",0.00710444702131334
"ID3","1:Ins:C","1:Ins:C:5",0.00735110102205329
"ID3","1:Ins:T","1:Ins:T:0",0.0187223650561671
"ID3","1:Ins:T","1:Ins:T:1",0.0431190291293571
"ID3","1:Ins:T","1:Ins:T:2",0.0401570401204711
"ID3","1:Ins:T","1:Ins:T:3",0.0251254340753763
"ID3","1:Ins:T","1:Ins:T:4",0.00656330501968992
"ID3","1:Ins:T","1:Ins:T:5",0.0261812390785437
"ID3","2:Del:R","2:Del:R:0",0.00689755302069266
"ID3","2:Del:R","2:Del:R:1",0.00847465402542395
"ID3","2:Del:R","2:Del:R:2",0.0118006410354019
"ID3","2:Del:R","2:Del:R:3",0.00667112502001338
"ID3","2:Del:R","2:Del:R:4",0.00282252500846758
"ID3","2:Del:R","2:Del:R:5",0.000101239000303717
"ID3","3:Del:R","3:Del:R:0",0.000589124001767372
"ID3","3:Del:R","3:Del:R:1",0.000372386001117158
"ID3","3:Del:R","3:Del:R:2",9.63000002888999e-05
"ID3","3:Del:R","3:Del:R:3",2.45000000735e-05
"ID3","3:Del:R","3:Del:R:4",3.82000001146e-06
"ID3","3:Del:R","3:Del:R:5",3.83000001149e-07
"ID3","4:Del:R","4:Del:R:0",0.000177645000532935
"ID3","4:Del:R","4:Del:R:1",0.000634573001903719
"ID3","4:Del:R","4:Del:R:2",0.000116799000350397
"ID3","4:Del:R","4:Del:R:3",4.12000001236e-18
"ID3","4:Del:R","4:Del:R:4",4.12000001236e-18
"ID3","4:Del:R","4:Del:R:5",2.83000000849e-06
"ID3","5:Del:R","5:Del:R:0",0.00177678500533035
"ID3","5:Del:R","5:Del:R:1",7.41000002222999e-05
"ID3","5:Del:R","5:Del:R:2",2.78000000834e-06
"ID3","5:Del:R","5:Del:R:3",4.12000001236e-18
"ID3","5:Del:R","5:Del:R:4",4.37000001311e-05
"ID3","5:Del:R","5:Del:R:5",3.82000001146e-06
"ID3","2:Ins:R","2:Ins:R:0",0.00263595000790785
"ID3","2:Ins:R","2:Ins:R:1",0.00224268300672805
"ID3","2:Ins:R","2:Ins:R:2",0.000955604002866811
"ID3","2:Ins:R","2:Ins:R:3",0.000897238002691713
"ID3","2:Ins:R","2:Ins:R:4",0.000253085000759255
"ID3","2:Ins:R","2:Ins:R:5",6.67000002001e-06
"ID3","3:Ins:R","3:Ins:R:0",9.60000002879999e-05
"ID3","3:Ins:R","3:Ins:R:1",0.000286144000858432
"ID3","3:Ins:R","3:Ins:R:2",9.75000002924999e-05
"ID3","3:Ins:R","3:Ins:R:3",1.36000000408e-05
"ID3","3:Ins:R","3:Ins:R:4",1.56000000468e-06
"ID3","3:Ins:R","3:Ins:R:5",4.12000001236e-18
"ID3","4:Ins:R","4:Ins:R:0",4.12000001236e-18
"ID3","4:Ins:R","4:Ins:R:1",0.000175982000527946
"ID3","4:Ins:R","4:Ins:R:2",2.74000000822e-05
"ID3","4:Ins:R","4:Ins:R:3",4.77000001431e-05
"ID3","4:Ins:R","4:Ins:R:4",4.18000001254e-06
"ID3","4:Ins:R","4:Ins:R:5",3.29000000987e-05
"ID3","5:Ins:R","5:Ins:R:0",8.83000002649e-05
"ID3","5:Ins:R","5:Ins:R:1",0.00065622000196866
"ID3","5:Ins:R","5:Ins:R:2",5.51000001653e-06
"ID3","5:Ins:R","5:Ins:R:3",3.32000000996e-05
"ID3","5:Ins:R","5:Ins:R:4",7.87000002361e-06
"ID3","5:Ins:R","5:Ins:R:5",3.48000001044e-06
"ID3","2:Del:M","2:Del:M:1",0.00693076402079229
"ID3","3:Del:M","3:Del:M:1",0.000344612001033836
"ID3","3:Del:M","3:Del:M:2",0.00030285000090855
"ID3","4:Del:M","4:Del:M:1",7.35000002204999e-05
"ID3","4:Del:M","4:Del:M:2",0.000340216001020648
"ID3","4:Del:M","4:Del:M:3",0.000130463000391389
"ID3","5:Del:M","5:Del:M:1",0.0013696340041089
"ID3","5:Del:M","5:Del:M:2",0.00175127200525382
"ID3","5:Del:M","5:Del:M:3",0.000774958002324873
"ID3","5:Del:M","5:Del:M:4",0.000640555001921665
"ID3","5:Del:M","5:Del:M:5",0.00036297000108891
"ID4","1:Del:C","1:Del:C:0",0.00724971696375141
"ID4","1:Del:C","1:Del:C:1",0.00273486898632566
"ID4","1:Del:C","1:Del:C:2",0.00204106298979469
"ID4","1:Del:C","1:Del:C:3",0.00111228299443858
"ID4","1:Del:C","1:Del:C:4",0.00107568399462158
"ID4","1:Del:C","1:Del:C:5",0.00224617798876911
"ID4","1:Del:T","1:Del:T:0",0.00663505196682473
"ID4","1:Del:T","1:Del:T:1",0.00162246599188767
"ID4","1:Del:T","1:Del:T:2",0.00263340498683298
"ID4","1:Del:T","1:Del:T:3",0.00030603799846981
"ID4","1:Del:T","1:Del:T:4",0.00102320199488399
"ID4","1:Del:T","1:Del:T:5",0.00015444199922779
"ID4","1:Ins:C","1:Ins:C:0",6.61999996689999e-18
"ID4","1:Ins:C","1:Ins:C:1",0.000272398998638005
"ID4","1:Ins:C","1:Ins:C:2",6.87999996559999e-05
"ID4","1:Ins:C","1:Ins:C:3",0.000512480997437595
"ID4","1:Ins:C","1:Ins:C:4",6.61999996689999e-18
"ID4","1:Ins:C","1:Ins:C:5",0.000249142998754285
"ID4","1:Ins:T","1:Ins:T:0",0.000333664998331675
"ID4","1:Ins:T","1:Ins:T:1",0.00101004399494978
"ID4","1:Ins:T","1:Ins:T:2",1.0599999947e-05
"ID4","1:Ins:T","1:Ins:T:3",0.000173934999130325
"ID4","1:Ins:T","1:Ins:T:4",1.599999992e-05
"ID4","1:Ins:T","1:Ins:T:5",0.000832925995835369
"ID4","2:Del:R","2:Del:R:0",0.0717242136413788
"ID4","2:Del:R","2:Del:R:1",0.230512878847436
"ID4","2:Del:R","2:Del:R:2",0.055059395724703
"ID4","2:Del:R","2:Del:R:3",0.012811005935945
"ID4","2:Del:R","2:Del:R:4",0.00321921798390391
"ID4","2:Del:R","2:Del:R:5",0.0023827209880864
"ID4","3:Del:R","3:Del:R:0",0.00506895397465523
"ID4","3:Del:R","3:Del:R:1",0.0971144655144276
"ID4","3:Del:R","3:Del:R:2",0.0214842818925786
"ID4","3:Del:R","3:Del:R:3",0.00383762698081187
"ID4","3:Del:R","3:Del:R:4",0.000786294996068524
"ID4","3:Del:R","3:Del:R:5",0.00113860899430696
"ID4","4:Del:R","4:Del:R:0",0.00725242896373785
"ID4","4:Del:R","4:Del:R:1",0.0635237296823813
"ID4","4:Del:R","4:Del:R:2",0.0145489219272554
"ID4","4:Del:R","4:Del:R:3",0.00455475197722624
"ID4","4:Del:R","4:Del:R:4",0.000849678995751604
"ID4","4:Del:R","4:Del:R:5",0.000610779996946099
"ID4","5:Del:R","5:Del:R:0",0.00413282597933587
"ID4","5:Del:R","5:Del:R:1",0.0157185329214073
"ID4","5:Del:R","5:Del:R:2",0.00234384498828078
"ID4","5:Del:R","5:Del:R:3",0.0011824799940876
"ID4","5:Del:R","5:Del:R:4",0.000146922999265385
"ID4","5:Del:R","5:Del:R:5",0.00010617399946913
"ID4","2:Ins:R","2:Ins:R:0",0.00049292199753539
"ID4","2:Ins:R","2:Ins:R:1",0.000553301997233489
"ID4","2:Ins:R","2:Ins:R:2",0.000266334998668325
"ID4","2:Ins:R","2:Ins:R:3",0.00013779399931103
"ID4","2:Ins:R","2:Ins:R:4",7.18999996404999e-05
"ID4","2:Ins:R","2:Ins:R:5",0.000103688999481555
"ID4","3:Ins:R","3:Ins:R:0",2.62999998685e-05
"ID4","3:Ins:R","3:Ins:R:1",0.000450982997745085
"ID4","3:Ins:R","3:Ins:R:2",0.000600334996998325
"ID4","3:Ins:R","3:Ins:R:3",7.41999996289999e-05
"ID4","3:Ins:R","3:Ins:R:4",7.39999996299999e-05
"ID4","3:Ins:R","3:Ins:R:5",3.9599999802e-05
"ID4","4:Ins:R","4:Ins:R:0",0.000166644999166775
"ID4","4:Ins:R","4:Ins:R:1",0.00126643499366782
"ID4","4:Ins:R","4:Ins:R:2",9.83999995079999e-05
"ID4","4:Ins:R","4:Ins:R:3",5.24999997375e-05
"ID4","4:Ins:R","4:Ins:R:4",0.000146910999265445
"ID4","4:Ins:R","4:Ins:R:5",0.000135204999323975
"ID4","5:Ins:R","5:Ins:R:0",8.57999995709999e-05
"ID4","5:Ins:R","5:Ins:R:1",0.00213585198932074
"ID4","5:Ins:R","5:Ins:R:2",0.000222026998889865
"ID4","5:Ins:R","5:Ins:R:3",7.58999996204999e-06
"ID4","5:Ins:R","5:Ins:R:4",2.52999998735e-05
"ID4","5:Ins:R","5:Ins:R:5",0.000160228999198855
"ID4","2:Del:M","2:Del:M:1",0.188997489055013
"ID4","3:Del:M","3:Del:M:1",0.00703415596482921
"ID4","3:Del:M","3:Del:M:2",0.049416600752917
"ID4","4:Del:M","4:Del:M:1",0.0109817189450914
"ID4","4:Del:M","4:Del:M:2",0.0294838768525806
"ID4","4:Del:M","4:Del:M:3",0.0488666397556668
"ID4","5:Del:M","5:Del:M:1",0.000453120997734395
"ID4","5:Del:M","5:Del:M:2",0.00013623199931884
"ID4","5:Del:M","5:Del:M:3",0.00111223599443882
"ID4","5:Del:M","5:Del:M:4",0.00365294598173527
"ID4","5:Del:M","5:Del:M:5",4.5599999772e-05
"ID5","1:Del:C","1:Del:C:0",0.0222021078667874
"ID5","1:Del:C","1:Del:C:1",0.0285472148287167
"ID5","1:Del:C","1:Del:C:2",0.0265969268404184
"ID5","1:Del:C","1:Del:C:3",0.0141591219150453
"ID5","1:Del:C","1:Del:C:4",0.00287342198275947
"ID5","1:Del:C","1:Del:C:5",0.00260244898438531
"ID5","1:Del:T","1:Del:T:0",0.101481148391113
"ID5","1:Del:T","1:Del:T:1",0.106099610363402
"ID5","1:Del:T","1:Del:T:2",0.114128463315229
"ID5","1:Del:T","1:Del:T:3",0.0889622074662269
"ID5","1:Del:T","1:Del:T:4",0.0522595316864428
"ID5","1:Del:T","1:Del:T:5",0.0306105228163369
"ID5","1:Ins:C","1:Ins:C:0",0.000542251996746488
"ID5","1:Ins:C","1:Ins:C:1",0.00124289799254261
"ID5","1:Ins:C","1:Ins:C:2",0.00315166698109
"ID5","1:Ins:C","1:Ins:C:3",0.000602847996382912
"ID5","1:Ins:C","1:Ins:C:4",0.000197581998814508
"ID5","1:Ins:C","1:Ins:C:5",0.000433543997398736
"ID5","1:Ins:T","1:Ins:T:0",0.00636196496182821
"ID5","1:Ins:T","1:Ins:T:1",0.0134626969192238
"ID5","1:Ins:T","1:Ins:T:2",0.0297211438216731
"ID5","1:Ins:T","1:Ins:T:3",0.0188402498869585
"ID5","1:Ins:T","1:Ins:T:4",0.0112687519323875
"ID5","1:Ins:T","1:Ins:T:5",0.00143921499136471
"ID5","2:Del:R","2:Del:R:0",0.0280544068316736
"ID5","2:Del:R","2:Del:R:1",0.0245627288526236
"ID5","2:Del:R","2:Del:R:2",0.00456261797262429
"ID5","2:Del:R","2:Del:R:3",0.000395918997624486
"ID5","2:Del:R","2:Del:R:4",0.000867562994794623
"ID5","2:Del:R","2:Del:R:5",0.0214267798714393
"ID5","3:Del:R","3:Del:R:0",0.0171363698971818
"ID5","3:Del:R","3:Del:R:1",0.00590979396454124
"ID5","3:Del:R","3:Del:R:2",0.000842709994943741
"ID5","3:Del:R","3:Del:R:3",0.00062115499627307
"ID5","3:Del:R","3:Del:R:4",0.00586707496479755
"ID5","3:Del:R","3:Del:R:5",0.00837891094972654
"ID5","4:Del:R","4:Del:R:0",0.0107912649352524
"ID5","4:Del:R","4:Del:R:1",0.00284356898293859
"ID5","4:Del:R","4:Del:R:2",0.000164643999012136
"ID5","4:Del:R","4:Del:R:3",0.00387781397673312
"ID5","4:Del:R","4:Del:R:4",0.00455725397265648
"ID5","4:Del:R","4:Del:R:5",0.00158443599049338
"ID5","5:Del:R","5:Del:R:0",0.0184479488893123
"ID5","5:Del:R","5:Del:R:1",0.00041033499753799
"ID5","5:Del:R","5:Del:R:2",0.00047092499717445
"ID5","5:Del:R","5:Del:R:3",0.000257166998456998
"ID5","5:Del:R","5:Del:R:4",9.72999994162001e-05
"ID5","5:Del:R","5:Del:R:5",0.000585017996489892
"ID5","2:Ins:R","2:Ins:R:0",0.00634945396190328
"ID5","2:Ins:R","2:Ins:R:1",0.0183876418896741
"ID5","2:Ins:R","2:Ins:R:2",0.0072079519567523
"ID5","2:Ins:R","2:Ins:R:3",0.00117229199296625
"ID5","2:Ins:R","2:Ins:R:4",6.87999995872e-05
"ID5","2:Ins:R","2:Ins:R:5",0.000994121994035269
"ID5","3:Ins:R","3:Ins:R:0",0.00379247797724513
