"","signature","type","channel","fraction"
"1","DBS1","AC>NN","AC>CA",0.000665473826040036
"2","DBS1","AC>NN","AC>CG",0.000103004197871427
"3","DBS1","AC>NN","AC>CT",0.00368930303240021
"4","DBS1","AC>NN","AC>GA",0.00073609392163768
"5","DBS1","AC>NN","AC>GG",4.5423585988665e-05
"6","DBS1","AC>NN","AC>GT",0.00228605877329749
"7","DBS1","AC>NN","AC>TA",0.00146272544920157
"8","DBS1","AC>NN","AC>TG",0.000441741571417516
"9","DBS1","AC>NN","AC>TT",0.0170242190912346
"10","DBS1","AT>NN","AT>CA",0.00105798313031909
"11","DBS1","AT>NN","AT>CC",0.000230463796031717
"12","DBS1","AT>NN","AT>CG",0.000152463070931583
"13","DBS1","AT>NN","AT>GA",0.001856522845375
"14","DBS1","AT>NN","AT>GC",0.000223853192645483
"15","DBS1","AT>NN","AT>TA",0.00289710519974946
"16","DBS1","CC>NN","CC>AA",0.00235728498277969
"17","DBS1","CC>NN","CC>AG",0.000982064425158893
"18","DBS1","CC>NN","CC>AT",0.0253042100411013
"19","DBS1","CC>NN","CC>GA",0.000486323306825893
"20","DBS1","CC>NN","CC>GG",0.000321152063994475
"21","DBS1","CC>NN","CC>GT",0.00914900718486677
"22","DBS1","CC>NN","CC>TA",0.0140414611370879
"23","DBS1","CC>NN","CC>TG",0.00396904226984744
"24","DBS1","CC>NN","CC>TT",0.794472534248397
"25","DBS1","CG>NN","CG>AT",9.40785902232709e-05
"26","DBS1","CG>NN","CG>GC",1.53770179968301e-05
"27","DBS1","CG>NN","CG>GT",4.93379853765789e-05
"28","DBS1","CG>NN","CG>TA",0.000666520629564027
"29","DBS1","CG>NN","CG>TC",9.56008534948023e-05
"30","DBS1","CG>NN","CG>TT",0.000274759095415108
"31","DBS1","CT>NN","CT>AA",0.00137144948911701
"32","DBS1","CT>NN","CT>AC",0.000746278092497606
"33","DBS1","CT>NN","CT>AG",0.000216669325183211
"34","DBS1","CT>NN","CT>GA",0.00036107538991651
"35","DBS1","CT>NN","CT>GC",0.000707018610195293
"36","DBS1","CT>NN","CT>GG",0.000173103455761754
"37","DBS1","CT>NN","CT>TA",0.023017657162583
"38","DBS1","CT>NN","CT>TC",0.0131067993953331
"39","DBS1","CT>NN","CT>TG",0.0034623092401072
