signature,aetiology,class,subclass
aflatoxin_b1_1cb89e1e19b5,aflatoxin,?,?
aflatoxin_b1_3044d395950b,aflatoxin,?,?
aflatoxin_b1_578fb5a74497,aflatoxin,?,?
aflatoxin_b1_6270b42f9830,aflatoxin,?,?
aflatoxin_b1_87cb0a69ee88,aflatoxin,?,?
aflatoxin_b1_9f5b0ada0d61,aflatoxin,?,?
aflatoxin_b1_bb680909cc09,aflatoxin,?,?
aflatoxin_b1_bf36917b079e,aflatoxin,?,?
aflatoxin_b1_c3f6e4f4bb2c,aflatoxin,?,?
aflatoxin_b1_cf84eb5d9662,aflatoxin,?,?
aflatoxin_b1_d58e44b2cfe6,aflatoxin,?,?
aristolochic_acid_i_1215fe505085,aristolochic,?,?
aristolochic_acid_i_1a8d04632520,aristolochic,?,?
aristolochic_acid_i_58ab66d6dc04,aristolochic,?,?
aristolochic_acid_i_5afac584b620,aristolochic,?,?
aristolochic_acid_i_6d8d557b5472,aristolochic,?,?
aristolochic_acid_i_9e622ceb1dc8,aristolochic,?,?
aristolochic_acid_i_a01f9d21df10,aristolochic,?,?
aristolochic_acid_i_c0d89b9f542f,aristolochic,?,?
aristolochic_acid_i_c7e99d08a0b4,aristolochic,?,?
aristolochic_acid_i_c87560a5e5d9,aristolochic,?,?
aristolochic_acid_i_cd24e78fa467,aristolochic,?,?
aristolochic_acid_i_dee190354905,aristolochic,?,?
cisplatin_1f302e2b283a,cisplatin,?,?
cisplatin_211f546c5edc,cisplatin,?,?
cisplatin_37ded7e41515,cisplatin,?,?
cisplatin_3897bc45882e,cisplatin,?,?
cisplatin_3e9c4be17574,cisplatin,?,?
cisplatin_4793152dfebc,cisplatin,?,?
cisplatin_716a00fea3e7,cisplatin,?,?
cisplatin_7807d80ec2e6,cisplatin,?,?
cisplatin_8115fd49a61c,cisplatin,?,?
cisplatin_8b54a6fa13b2,cisplatin,?,?
cisplatin_9889c52e53f2,cisplatin,?,?
cisplatin_9ff4b3319821,cisplatin,?,?
cisplatin_a849b49f6e1f,cisplatin,?,?
