signature,aetiology,class,subclass
acetaldehyde_9fde73f6e508,acetaldehyde,?,?
acrolein_7e28b8bb4834,acrolein,?,?
acrylamide_fc03d8ed1dc2,acrylamide,?,?
aflatoxin_b1_60c8b83450ec,aflatoxin,?,?
aflatoxin_b1_61dc27c413a9,aflatoxin,?,?
aflatoxin_b1_e6c6aa551e43,aflatoxin,?,?
aristolochic_acid_i_b4173d75722f,aristolochic,?,?
aristolochic_acid_i_e1077962b83d,aristolochic,?,?
aristolochic_acid_ii_7cfb500c5521,aristolochic,?,?
az20_e8f89cf2ec16,az20,?,?
azd7762_c62b92e2486a,azd7762,?,?
benzidine_5b2123a8cf0e,benzidine,?,?
benzidine_6c3042d3a0b5,benzidine,?,?
benzoapyrene_5157af6fc274,benzoapyrene,?,?
benzoapyrene_7_8_diol_9_10_epoxide_a940ded66b4f,benzoapyrene,?,?
benzoapyrene_78ff8416d28d,benzoapyrene,?,?
benzoapyrene_b931a8be44c3,benzoapyrene,?,?
bleomycin_a07bf993a1cf,bleomycin,?,?
cadmium_chloride_4e155105529e,cadmium,?,?
camptothecin_035f5ec44026,camptothecin,?,?
carboplatin_87107e8f10fc,carboplatin,?,?
catechol_c6f4cfad7d77,catechol,?,?
cisplatin_244441f785e1,cisplatin,?,?
cisplatin_92bd8426ea0e,cisplatin,?,?
cisplatin_93f89a4f687c,cisplatin,?,?
cobalt_chloride_a9e31bc7a88c,cobalt,?,?
colibactin_64a437501c7e,colibactin,?,?
colibactin_knockout_b1ed6d50ae6d,colibactin,?,?
cx_5461_4b620d37b4ff,cx,?,?
cx_5461_5ea23ae78047,cx,?,?
cx_5461_74c9c7216236,cx,?,?
cx_5461_a8d619bd33b3,cx,?,?
cyclophosphamide_557117b73fe2,cyclophosphamide,?,?
dibenza_hanthracene_86a56a54eba1,dibenza,?,?
dibenza_hanthracene_diol_epoxide_d1c39f8181d9,dibenza,?,?
dibenza_jacridine_ddba8930ac82,dibenza,?,?
dibenzoa_lpyrene_8d818fe5a7ef,dibenzoa,?,?
dibenzoa_lpyrene_a8658ca308ee,dibenzoa,?,?
dibenzoa_lpyrene_diol_epoxide_918d83810794,dibenzoa,?,?
diethyl_sulfate_66c09d32862b,diethyl,?,?
dimethyl_sulfate_31311db64fc6,dimethyl,?,?
dmso_39bf73141acf,dmso,?,?
dmso_418f69401d9a,dmso,?,?
dmso_640c89f54363,dmso,?,?
dmso_a7c56a3e916e,dmso,?,?
ellipticine_4b8e9b175c6b,ellipticine,?,?
ellipticine_e149a5f58dd0,ellipticine,?,?
etoposide_2fbea1693a7c,etoposide,?,?
etoposide_38326aaa4a4a,etoposide,?,?
etoposide_51f30ea13687,etoposide,?,?
etoposide_d87f22a7e170,etoposide,?,?
formaldehyde_8c36e95b481c,formaldehyde,?,?
furan_fd4f695c67b1,furan,?,?
gammaray_8a41562354d7,gammaray,?,?
glycidamide_8e1c87cf773d,glycidamide,?,?
harmane_ad913bd008a0,harmane,?,?
hydrogen_peroxide_ff64f141ad1a,hydrogen,?,?
lead_acetate_eb992ae53f06,lead,?,?
lead_nitrate_3ff280a61a91,lead,?,?
mechlorethamine_48da6be92ec6,mechlorethamine,?,?
melphalan_dc6d858bb0a4,melphalan,?,?
methanol_23bc14314298,methanol,?,?
methanol_5f193a12cbbf,methanol,?,?
methyl_methanesulfonate_f61fcd09adad,methyl,?,?
methyleugenol_4048db90dc58,methyleugenol,?,?
methyleugenol_830517b726f0,methyleugenol,?,?
mitomycin_c_1c3f32aa1d84,mitomycin,?,?
n_ethyl_n_nitrosourea_8164e08a22bc,n,?,?
n_methyl_n_nitro_nitrosoguanidine_9fbe0253d888,n,?,?
n_methyl_n_nitro_nitrosoguanidine_ca5b1ff8ee0d,n,?,?
n_methyl_n_nitrosourea_9a944873342f,n,?,?
n_nitrosopyrrolidine_ff630a9dde6d,n,?,?
nickel_chloride_70a11a6d19e0,nickel,?,?
no_treatment_290769de0f7a,no,?,?
no_treatment_2d9081e4d720,no,?,?
no_treatment_368d8667e685,no,?,?
no_treatment_843a6aaaecfd,no,?,?
no_treatment_a4b5192aa59c,no,?,?
no_treatment_e484b30b812e,no,?,?
no_treatment_e638523fc587,no,?,?
no_treatment_eaf67f5b8560,no,?,?
no_treatment_f9c3354b9596,no,?,?
norharmane_84d4977cc253,norharmane,?,?
o_anisidine_140b3b7221ca,o,?,?
o_anisidine_9552a08d7147,o,?,?
o_toluidine_0d620c5f38d0,o,?,?
ochratoxin_a_9b5acc8297cd,ochratoxin,?,?
olaparib_43d725f7cc82,olaparib,?,?
peroxynitrite_7cadeaf3e612,peroxynitrite,?,?
potassium_bromate_69b10ec2b4fd,potassium,?,?
potassium_chromate_0bdc1b5144e0,potassium,?,?
propylene_oxide_7197becf3bd8,propylene,?,?
pyridostatin_22055eecce72,pyridostatin,?,?
pyridostatin_476ee18c3333,pyridostatin,?,?
pyridostatin_a7337810aa5e,pyridostatin,?,?
pyrrolizidine_alkaloid_cebf8492a194,pyrrolizidine,?,?
semustine_5a98bdaabcd0,semustine,?,?
semustine_f81842a4d573,semustine,?,?
simulated_solar_radiation_04d97e27a495,simulated,?,?
simulated_solar_radiation_fa422d8b482e,simulated,?,?
sodium_arsenite_90245b3e0140,sodium,?,?
sodium_arsenite_b9afee5488f0,sodium,?,?
sodium_arsenite_simulated_solar_radiation_63b5316ade6b,sodium,?,?
sodium_chloride_02280bd72cf9,sodium,?,?
styrene_oxide_2bb934f6fd57,styrene,?,?
sudan_i_c63d6349b4cb,sudan,?,?
temozolomide_8377cb5da514,temozolomide,?,?
uva_7a9189894303,uva,?,?
water_5807eebc2535,water,?,?
X1_2_dimethylhydrazine_9cffdc696a32,X1,?,?
X1_2_dimethylhydrazine_ef5d55b18c9c,X1,?,?
X1_4_benzoquinone_2d25052e44b1,X1,?,?
X1_6_dinitropyrene_77c0ec6159e4,X1,?,?
X1_8_dinitropyrene_da7ddba98e4a,X1,?,?
X1_naphthylamine_c07099963bcd,X1,?,?
X1_nitropyrene_2c37b07dec5a,X1,?,?
X2_6_dimethylaniline_3de14f6a14d9,X2,?,?
X2_6_dimethylaniline_42d3abf9de65,X2,?,?
X2_amino_1_methyl_6_phenylimidazo4_5_bpyridine_d8aa29785596,X2,?,?
X2_amino_3_8_dimethylimidazo4_5_fquinoxaline_d2762690cb73,X2,?,?
X2_amino_3_methyl_9h_pyrido2_3_bindole_f10529056af1,X2,?,?
X2_amino_3_methylimidazo4_5_fquinoline_0e3b1136946a,X2,?,?
X2_naphthylamine_0678c60a05a6,X2,?,?
X2_naphthylamine_8d0ae6c5590e,X2,?,?
X2_nitrofluorene_d908deea4861,X2,?,?
X2_nitrotoluene_d1b70070133b,X2,?,?
X3_aminobiphenyl_2805765426dd,X3,?,?
X3_chloro_4_dichloromethyl_5_hydroxy_25h_furanone_d6057c2d9433,X3,?,?
X3_chloro_4_dichloromethyl_5_hydroxy_25h_furanone_e40d11eac1ce,X3,?,?
X3_nitrobenzanthrone_8bc52f809fe4,X3,?,?
X4_4_methylene_bis2_chloroaniline_10dc00a2ca17,X4,?,?
X4_4_methylene_bis2_chloroaniline_b43861ea935b,X4,?,?
X4_aminobiphenyl_dfa9b811bd76,X4,?,?
X4_methylnitrosamino_1_3_pyridyl_1_butanone_dfb390c0ba8d,X4,?,?
