signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
CN1,ploidy,diploid,Diploidy,"CN1 is primarily a signature of a diploid genome. This has been verified through associations with non-genome-doubled samples and simulations of little or no copy number alteration. CN1 is also negatively associated with many signals of a perturbed genome, as might be expected for a diploid signature, including APOBEC SBS signatures (SBS2, SBS13), TP53 mutation in multiple cancer types, biomarkers of homologous recombination deficiency (scarHRD scores, see Sztupinszki et al., 2018), all amplicon classes, all rearrangement classes other than translocations, chromothripsis calls, LOH, tandem duplicator phenotype (see Menghi et al., 2018), hypoxia gene expression scores (see Eustace et al., 2013 & Yang et al., 2018) and oncogene amplification in many cancer types","In addition, CN1 is associated with variously poor (prostate cancer) and improved (uterine/endometrial carcinoma, thymoma) disease specific survival",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN1 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WES & WGS",No,-,-
CN2,ploidy,tetraploid,Ploidy gain (1x)/aneuploidy,"CN2 is primarily a signature of a tetraploid genome; this has been verified through associations with once-genome-doubled samples, simulations of genome doubling, and artificial genome doubling of signature CN1. Note that due to the copy number class that most strongly defines this signature (TCN 3-4), a triploid cancer may be assigned this signature",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN2 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WES & WGS",No,-,-
CN3,ploidy,octoploid,Ploidy gain (2x)/aneuploidy,,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN3 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN4,chromosomal,chromothripsis,Chromothripsis,"CN4 was only identified in uveal melanoma (see tumour distributions), in <5% of samples. Despite the low numbers, samples with a high attribution of CN4 display high localised segmentation, suggesting a chromothripsis-like aetiology. In addition, this signature is associated with highly rearranged amplicons (see Kim et al., 2020), and was observed in simulations of chromothripsis with a gain of the derivative chromosome","In combination with other amplicon/chromothripsis signatures, CN4 is associated with poorer disease specific survival",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN4 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN5,chromosomal,chromothripsis,Chromothripsis,"CN5 is a signature of chromothripsis/amplicon events. Evidence for this comes from associations with local calls of chromothripsis in PCAWG (see PCAWG consortium, 2020) and simulations of chromothripsis with amplification of the derivative chromosome. In addition, CN5 is associated with the circular amplicon class (ECDNA) (see Kim et al., 2020), which has been shown to have an interplay with chromothripsis and breakage-fusion bridge events (see e.g. Bolhaquiero et al., 2019)","CN5 is associated with a poorer prognosis for patients in a pan-cancer analysis, with a poorer prognosis in just glioblastomas, and with a poorer prognosis when taken in combination with all other chromothripsis/amplicon signatures",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN5 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN6,chromosomal,chromothripsis,Chromothripsis,"CN6 is a signature of chromothripsis/amplicon events followed by genome doubling (LOH segments are lost through chromothripsis, and then gained due to genome doubling). Evidence for this comes from associations with local calls of chromothripsis in PCAWG, local calls of chromothripsis before whole genome doubling in PCAWG (see PCAWG consortium, 2020), associations with samples that are once-genome-doubled, and through simulations of chromothripsis followed by genome doubling",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN6 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN7,chromosomal,chromothripsis,Chromothripsis,"CN7 is a signature of amplified chromothripsis. Evidence for this comes from associations with local calls of chromothripsis in PCAWG, local calls of amplified chromothripsis in PCAWG (see PCAWG consortium, 2020), associations with samples that are once- or twice-genome-doubled, and through simulations of chromothripsis with amplification of the derivative chromosome and genome doubling. CN7 strongly associates with circular, heavily rearranged and linear amplicon classes, and less strongly with breakage-fusion-bridge (BFB) amplicon events (see Kim et al., 2020)","CN7 is positively associated with BFB, chromoplexy, and tyfonas rearrangement classes (see Hadi et al., 2020) and with poor disease specific survival for patients in combination with other chromothripsis/amplicon signatures",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN7 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WES",No,-,-
CN8,chromosomal,chromothripsis,Chromothripsis,"CN8 is a signature of amplified chromothripsis. Evidence for this comes from associations with local calls of chromothripsis in PCAWG, local calls of amplified chromothripsis in PCAWG (see PCAWG consortium, 2020), associations with samples that are once- or twice-genome-doubled, and through simulations of chromothripsis multiple amplifications of the derivative chromosome and genome doubling. In addition, CN8 is strongly associated with breakage-fusion-bridge (BFB), circular (ECDNA), heavily rearranged and linear amplicon classes (see Kim et al., 2020), and associated with BFB, chromothripsis and tyfonas rearrangement classes, amongst others (see Hadi et al., 2020)","CN8 positively associates with RAF1 and CCNE1 amplification in bladder cancer, MDM2 amplification in glioblastoma, AKT2 and NSD3 amplification in high grade serous ovarian cancer, MDM2 and JUN amplification in sarcomas, CCNE1 amplification in stomach adenocarcinoma and KAT6A amplification in uterine/endometrial carcinoma. In addition, CN8 was observed to locally recur around oncogenes that are important drivers of individual tumour types e.g. SOX2 in lung squamous cell carcinoma, EGFR in glioblastoma and uterine/endometrial carcinoma, MYC in uterine/endometrial carcinoma, CCND1 in esophageal carcinoma and head and neck squamous cell carcinoma, MDM2 and NKX2-1 and PPM1D in sarcomas, ERBB2 in stomach adenocarcinoma, and CCNE1 in high grade serous ovarian carcinoma",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN8 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WGS",No,-,-
CN9,chromosomal,chromosomal_instability,Chromsomal instability,"CN9 is a signature of chromosomal instability on a diploid background. Evidence for this comes from both simulations of chromosomal instability and simulations of chromothripsis (N.B. that there is no current signature of ‘canonical chromothripsis’; this is difficult to distinguish from the effects of regular chromosomal instability with the current classification system). In addition, CN9 is associated with non-genome-doubled samples","CN9 is associated with both deletion and duplication rearrangement classes (see Hadi et al., 2020), as well as with regions of the genome that are LOH",Mutational Signatures (v3.4 - October 2023),Simulation,https://cancer.sanger.ac.uk/signatures/cn/,CN9 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN10,unknown,unknown,Unknown,"CN10 is a focal LOH signature, indicating losses before a genome doubling event. As such, this signature is associated with regions of the genome that are LOH, and with samples that are once-genome-doubled","CN10 is negatively associated with chromothripsis calls in PCAWG (see PCAWG consortium, 2020), and is recurrently seen around tumour suppressor genes e.g. CDKN2A, RB1, TP53 and STK11 in combinations with other focal LOH signatures",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN10 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
