signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
DBS1,environmental_mutagens,UV,UV light exposure,Exposure to ultraviolet light,DBS1 exhibits transcriptional strand bias with more CC>TT mutations than GG>AA on the untranscribed strands of genes indicative of damage to cytosine and repair by transcription coupled nucleotide excision repair,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/dbs/,DBS1 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Chen et al. 2013 Human Mutation,v3,WGS,Yes,Kucab et al. 2019 Cell,Human
DBS2,environmental_mutagens,tobacco,Tobacco smoking / Acetaldehyde exposure,"Exposure to tobacco smoking as well as other endogenous and/or exogenous mutagens (e.g., acetaldehyde)","DBS2 exhibits transcriptional strand bias with more GG>TT mutations than CC>AA on the untranscribed strands of genes indicative of damage on guanine and repair by transcription-coupled nucleotide excision repair. In addition to its presence in tobacco smoking induced cancers, DBS2 is also found in many cancer types unrelated to tobacco smoking. Its profile is similar to that of mutations in normal cells in mice. It may therefore also be an endogenously generated signature. Its mutation burden correlates with age of cancer diagnosis and this clock-like feature suggests that it is generated in normal human cells",Mutational Signatures (v3.4 - October 2023),Experimental confirmation (tobacco smoking),https://cancer.sanger.ac.uk/signatures/dbs/,DBS2 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Chen et al. 2013 Human Mutation,v3,WGS,Yes,Kucab et al. 2019 Cell,Human
DBS3,dysfunctional_dna_replication,polymerase_mutations,POLE exonuclease domain mutation,Polymerase epsilon exonuclease domain mutations,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/dbs/,DBS3 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS4,unknown,unknown,Unknown,Unknown,Its profile is similar to that of a subset of mutations in normal mouse cells. It may therefore be an endogenously generated signature. Its mutation burden correlates with the age of cancer diagnosis and this clock-like feature suggests that it is generated in normal human cells,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/dbs/,DBS4 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS5,treatment_associated,chemotherapy_platinum,Platinum chemotherapy,Prior chemotherapy treatment with platinum drugs,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/dbs/,DBS5 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,Kucab et al. 2019 Cell,Human
DBS6,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/dbs/,DBS6 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS7,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/dbs/,DBS7 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS8,unknown,unknown,Unknown,Unknown,"Found in rare hypermutated cancers with large numbers of single base substitutions similar to SBS1 and SBS5, but not apparently DNA mismatch repair defective or polymerase epsilon mutated",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/dbs/,DBS8 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS9,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/dbs/,DBS9 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
DBS10,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/dbs/,DBS10 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WGS,Yes,-,-
