signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
ID1,dysfunctional_dna_repair,MMR,Slippage of nascent strand during DNA replication,"Slippage during DNA replication of the replicated DNA strand. This signature is found in almost all samples, however, substantial number of mutations of this signature are found in cancers with DNA mismatch repair deficiency","ID1 is found in most cancer samples. The ID1 mutation burden is correlated with the age of cancer diagnosis in non-hypermutated samples and this clock-like behaviour suggests that ID1 mutations accumulate in normal cells. This mutational signature also tends to be highly elevated in cancer samples with defective DNA mismatch repair and microsatellite instability (MSI). These MSI samples generally exhibit one or more of SBS6, SBS14, SBS15, SBS20, SBS21, SBS26, and/or SBS44",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID1 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID2,dysfunctional_dna_repair,MMR,Slippage of template strand during DNA replication,"Slippage during DNA replication of the template DNA strand. This signature is found in almost all samples, however, substantial number of mutations of this signature are found in cancers with DNA mismatch repair deficiency","ID2 is found in most cancer samples. The ID2 mutation burden is, in some series, correlated with the age of cancer diagnosis in non-hypermutated samples and this clock-like behaviour suggests that ID2 mutations may accumulate in normal cells. This mutational signature also tends to be highly elevated in cancer samples with defective DNA mismatch repair and microsatellite instability (MSI). These MSI samples generally exhibit one or more of the single base substitution mutational signatures: SBS6, SBS14, SBS15, SBS20, SBS21, SBS26, and/or SBS44",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID2 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID3,environmental_mutagens,tobacco,Tobacco smoking,Associated with tobacco smoking,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/id/,ID3 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,Kucab et al. 2019 Cell,Human
ID4,unknown,unknown,Unknown,Unknown,ID4 shows large numbers of mutations in a subset of samples which do not obviously have the mutational features of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID4 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID5,unknown,unknown,Unknown,Unknown,The ID5 mutation burden is correlated with the age of cancer diagnosis and this clock-like behaviour suggests that ID5 mutations may accumulate in normal cells,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID5 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID6,dysfunctional_dna_repair,HR,HR deficiency,"Defective homologous recombination-based DNA damage repair, often due to inactivating BRCA1 or BRCA2 mutations, leading to non-homologous DNA end-joining activity",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID6 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID7,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,Large numbers of mutations in some cancers with DNA mismatch repair deficiency,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID7 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID8,dysfunctional_dna_repair,NHEJ,DSB repair by NHEJ / TOP2A mutation,"Appears to be caused by at least two underlying mechanisms. In the vast majority of tumours the aetiology is unknown, but may involve repair of DNA double strand breaks by non-homologous DNA end-joining mechanisms. The double strand breaks could, in principle, be radiation induced and the features of ID8 mutations have some similarities to those of radiation induced mutations. The small number of tumors with the somatic p.K743N mutation in topoisomerase TOP2A, which always also have ID17, have a form of ID8 that shows evidence of transcription-associated damage and that has a strong enrichment for deletions of 6 to 8 base pairs compared to other ID8-mutated tumours. The vast majority of ID8 tumours (which do not have ID17) do not show evidence of transcription-coupled damage and have a markedly different size distribution of deletions longer than 5 base pairs",The ID8 mutation burden is correlated with age of cancer diagnosis and this clock-like behaviour suggests that ID8 mutations may accumulate in normal cells,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID8 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID9,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID9 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID10,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID10 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
