signature,class,subclass,aetiology,aetiology_long,comment,SignatureVersion,IdentificationStudy,IdentificationStudyURL,ExperimentalValidationStudy,ExperimentalValidationURL,ProposedAetiologySupport,ValidatedInOrthogonalTechniques,source page
SBS1,clock-like,clock-like, Spontaneous deamination of 5-methylcytosine,An endogenous mutational process initiated by spontaneous or enzymatic deamination of 5-methylcytosine to thymine which generates G:T mismatches in double stranded DNA. Failure to detect and remove these mismatches prior to DNA replication results in fixation of the T substitution for C.,Signature SBS1 is clock-like in that the number of mutations in most cancers and normal cells correlates with the age of the individual. Rates of acquisition of Signature SBS1 mutations over time differ markedly between different cancer types and different normal cell types. These differences correlate with estimated rates of stem cell division in different tissues and Signature SBS1 may therefore be a cell division/mitotic clock.,Mutational Signatures (v3.3 - June 2022),Nik-Zainal et al. 2012 Cell,https://doi.org/10.1016/j.cell.2012.04.024,,, Mutational pattern, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs1/
SBS2,cytidine_deaminases,cytidine_deaminases, APOBEC activity,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1,536 mutation classification signature extraction). SBS2 mutations may be generated directly by DNA replication across uracil or by error prone polymerases replicating across abasic sites generated by base excision repair removal of uracil.","SBS2 is usually found in the same samples as SBS13. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well.",Mutational Signatures (v3.3 - June 2022),Nik-Zainal et al. 2012 Cell,https://doi.org/10.1016/j.cell.2012.04.024,Chan et al. 2015 Nature Genetics,https://doi.org/10.1038/ng.3378, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs2/
SBS3,dysfunctional_dna_repair,HR, HR deficiency,Defective homologous recombination-based DNA damage repair which manifests predominantly as small indels and genome rearrangements due to abnormal double strand break repair but also in the form of this base substitution signature.,"SBS3 is strongly associated with germline and somatic BRCA1 and BRCA2 mutations and BRCA1 promoter methylation in breast, pancreatic, and ovarian cancers. In pancreatic cancer, responders to platinum therapy usually exhibit SBS3 mutations. Together with associated indel and rearrangement signatures, SBS3 has been proposed as a predictor of defective homologous recombination-based repair and thus of response to therapies exploiting this repair defect.",Mutational Signatures (v3.3 - June 2022),Nik-Zainal et al. 2012 Cell,https://doi.org/10.1016/j.cell.2012.04.024,Zámborszky et al. 2017 Oncogene,https://doi.org/10.1038/onc.2016.243, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs3/
SBS4,environmental_mutagens,tobacco, Aging / Tobacco smoking / NER deficiency,"Associated with tobacco smoking. Its profile is similar to the mutational spectrum observed in experimental systems exposed to tobacco carcinogens such as benzo[a]pyrene. SBS4 is, therefore, likely due to direct DNA damage by tobacco smoke mutagens.","Although tobacco smoking causes multiple cancer types in addition to lung and head and neck, SBS4 has not been detected in many of these. SBS29 is found in cancers associated with tobacco chewing and appears different from SBS4.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Nik-Zainal et al. 2015 Mutagenesis,https://doi.org/10.1093/mutage/gev073, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs4/
SBS5,clock-like,clock-like, Aging / Tobacco smoking / NER deficiency,Unknown. SBS5 mutational burden is increased in bladder cancer samples with ERCC2 mutations and in many cancer types due to tobacco smoking.,SBS5 is clock-like in that the number of mutations in most cancers and normal cells correlates with the age of the individual. Rates of acquisition of SBS5 mutations over time differ between different cancer types and different normal cell types. These differences do not clearly correlate with estimated rates of stem cell division in different tissues nor with differences in SBS1 mutation rates. SBS5 may be contaminated by SBS16.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,," Age correlation (age) / Statistical association (tobacco, NER deficiency in bladder cancer)", Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs5/
SBS6,dysfunctional_dna_repair,MMR, MMR deficiency,SBS6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours.,"SBS6 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI), and is often found in the same samples as other MSI associated signatures: SBS14, SBS15, SBS20, SBS21, SBS26, and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Meier et al. 2018 Genome Research,https://doi.org/10.1101/gr.226845.117, Statistical association; Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs6/
SBS7a,environmental_mutagens,UV, UV light exposure,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are thus likely to be due to exposure to ultraviolet light. SBS7a may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts. However, there is currently no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible for SBS7a.",,Mutational Signatures (v3.3 - June 2022),Hayward et al. 2017 Nature,https://doi.org/10.1038/nature22071,Nik-Zainal et al. 2015 Mutagenesis,https://doi.org/10.1093/mutage/gev073, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs7a/
SBS7b,environmental_mutagens,UV, UV light exposure,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7b may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts. However, there is no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible for SBS7b.",,Mutational Signatures (v3.3 - June 2022),Hayward et al. 2017 Nature,https://doi.org/10.1038/nature22071,Nik-Zainal et al. 2015 Mutagenesis,https://doi.org/10.1093/mutage/gev073, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs7b/
SBS7c,environmental_mutagens,UV, UV light exposure,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7c is possibly the consequence of translesion DNA synthesis by enzymes with propensity to insert T, rather than A, opposite ultraviolet induced thymidine and cytidine photodimers. The preponderance of T>A rather than T>C mutations may reflect the heavier burden of thymidine compared to cytidine dimers induced by UV light.",,Mutational Signatures (v3.3 - June 2022),Saini et al. 2016 PLoS Genetics,https://doi.org/10.1371/journal.pgen.1006385,,, Co-occurrence with SBS7a/b, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs7c/
SBS7d,environmental_mutagens,UV, UV light exposure,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7d is possibly the consequence of translesion DNA synthesis by error-prone polymerases with greater propensity to insert G, rather than A, opposite UV light induced thymidine and cytidine photodimers.",,Mutational Signatures (v3.3 - June 2022),Saini et al. 2016 PLoS Genetics,https://doi.org/10.1371/journal.pgen.1006385,,, Co-occurrence with SBS7a/b, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs7d/
