"signature","QC","class","subclass","aetiology","aetiology_long","comment","signature_fullname","baseContext","inCis","refsigBreakDown","COSMIC"
"DBS1","green","environmental_mutagens","UV","UV light","UV light","mostly CC>TT. CC>TT can also happen rarely in highly hypermutated APOBEC samples","RefSig DBS1",NA,"TRUE","GEL|279,Hartwig|257,ICGC|98:GEL-Bone_SoftTissue|20,GEL-Breast|6,GEL-CNS|6,GEL-Colorectal|2,GEL-Lung|2,GEL-Lymphoid|4,GEL-NET|1,GEL-Oral_Oropharyngeal|10,GEL-Skin|228,Hartwig-Bone_SoftTissue|4,Hartwig-Lymphoid|1,Hartwig-Skin|252,ICGC-Skin|98",TRUE
"DBS2","green","environmental_mutagens","tobacco","Smoking","Smoking","mostly CC>AA","RefSig DBS2",NA,"TRUE","GEL|1035,Hartwig|362,ICGC|287:GEL-Bladder|99,GEL-Breast|1,GEL-CNS|4,GEL-Colorectal|150,GEL-Kidney|7,GEL-Lung|748,GEL-NET|24,GEL-Oral_Oropharyngeal|2,Hartwig-Bladder|35,Hartwig-Breast|4,Hartwig-Colorectal|70,Hartwig-Esophagus|1,Hartwig-Lung|249,Hartwig-Prostate|1,Hartwig-Skin|2,ICGC-Head_neck|4,ICGC-Liver|221,ICGC-Lung|62",TRUE
"DBS3","green","dysfunctional_dna_replication","polymerase_mutations","POLE dysregulation","POLE dysregulation",NA,"RefSig DBS3",NA,"FALSE","GEL|16,ICGC|4:GEL-Colorectal|4,GEL-Uterus|12,ICGC-Colorectal|3,ICGC-Uterus|1",TRUE
"DBS4","green","unknown","unknown","Unknown","Unknown",NA,"RefSig DBS4",NA,"TRUE","GEL|44,Hartwig|6,ICGC|28:GEL-NET|1,GEL-Oral_Oropharyngeal|43,Hartwig-Head_neck|6,ICGC-Head_neck|28",TRUE
"DBS5","green","treatment_associated","chemotherapy_platinum","Platinum-based theraphy","Platinum-based theraphy",NA,"RefSig DBS5","TG>GT is often followed by a G","TRUE","GEL|90,Hartwig|406,ICGC|12:GEL-Bladder|3,GEL-Bone_SoftTissue|18,GEL-Breast|1,GEL-Colorectal|46,GEL-Kidney|4,GEL-Lymphoid|1,GEL-Oral_Oropharyngeal|4,GEL-Ovary|7,GEL-Stomach|4,GEL-Uterus|2,Hartwig-Biliary|5,Hartwig-Bladder|9,Hartwig-Bone_SoftTissue|4,Hartwig-Breast|10,Hartwig-Colorectal|210,Hartwig-Esophagus|46,Hartwig-Head_neck|8,Hartwig-Lung|65,Hartwig-NET|3,Hartwig-Ovary|32,Hartwig-Prostate|2,Hartwig-Stomach|2,Hartwig-Uterus|10,ICGC-Esophagus|1,ICGC-Head_neck|1,ICGC-Liver|5,ICGC-Ovary|3,ICGC-Pancreas|2",TRUE
"DBS7","green","unknown","unknown","Unknown","Unknown","All samples have large number of RefSig SBS17 mutations. While most DNVs are in cis, TT>GG are usually not, probably because they are caused by RefSig SBS17. This signature is similar to RefSig DBS26. Our RefSig DBS7 looks somewhat different from COSMIC DSB7.","RefSig DBS7",NA,"TRUE","GEL|1,Hartwig|2,ICGC|1:GEL-Breast|1,Hartwig-Lymphoid|2,ICGC-Esophagus|1",TRUE
"DBS8","green","unknown","unknown","Unknown","Unknown",NA,"RefSig DBS8","Both AC>CA and AC>CT are often preceded by a C","TRUE","GEL|74,Hartwig|12,ICGC|1:GEL-Colorectal|73,GEL-Kidney|1,Hartwig-Colorectal|12,ICGC-Esophagus|1",TRUE
"DBS10","green","dysfunctional_dna_replication","polymerase_mutations","POLE dysregulation","POLE dysregulation","While COSMIC indicates MMR deficiency as possible aetiology, we find it clearly associated with POLE deficiency","RefSig DBS10",NA,"FALSE","GEL|43,Hartwig|1,ICGC|4:GEL-Colorectal|14,GEL-Ovary|1,GEL-Uterus|28,Hartwig-Colorectal|1,ICGC-Colorectal|4",TRUE
"DBS11","green","unknown","unknown","Unknown","Unknown","Possibly associated with APOBEC activity","RefSig DBS11","CC>TT are often preceded by a T","TRUE","GEL|285,Hartwig|135,ICGC|70:GEL-Bladder|173,GEL-Breast|79,GEL-Kidney|5,GEL-Lymphoid|14,GEL-Oral_Oropharyngeal|14,Hartwig-Bladder|43,Hartwig-Breast|78,Hartwig-CNS|3,Hartwig-Head_neck|3,Hartwig-Uterus|8,ICGC-Bladder|3,ICGC-Breast|19,ICGC-CNS|1,ICGC-Head_neck|5,ICGC-Lymphoid|42",TRUE
"DBS12","green","unknown","unknown","Unknown","Unknown","Associated with RefSig SBS105. The large number of RefSig SBS105 mutations that randomly fall next to each other is the most likely cause of this signature","RefSig DBS12",NA,"FALSE","GEL|2:GEL-Bladder|1,GEL-Breast|1",FALSE
